state,incumbent_name,incumbent_party,electoral_history,result_text,candidate_name,party,vote_percentage,is_winner,pvi,last_election_result,wikipedia_url,election_type
Alabama,Richard Shelby,Republican,"1986, 1992, 1998, 2004, 2010",Incumbent re-elected.,Richard Shelby,Republican,64.0,True,R+14,63.4% R,https://en.wikipedia.org/wiki/Richard_Shelby,general
Alabama,Richard Shelby,Republican,"1986, 1992, 1998, 2004, 2010",Incumbent re-elected.,Ron Crumpton,Democratic,35.8,False,R+14,63.4% R,https://en.wikipedia.org/wiki/Ron_Crumpton,general
Alaska,Lisa Murkowski,Republican,"2002, (appointed), 2004, 2010",Incumbent re-elected.,Lisa Murkowski,Republican,44.5,True,R+12,39.5% R[d],https://en.wikipedia.org/wiki/Lisa_Murkowski,general
Alaska,Lisa Murkowski,Republican,"2002, (appointed), 2004, 2010",Incumbent re-elected.,Joe Miller,Libertarian,29.2,False,R+12,39.5% R[d],https://en.wikipedia.org/wiki/Joe_Miller_(Alaska_politician),general
Alaska,Lisa Murkowski,Republican,"2002, (appointed), 2004, 2010",Incumbent re-elected.,Margaret Stock,Independent,13.3,False,R+12,39.5% R[d],https://en.wikipedia.org/wiki/Margaret_Stock,general
Alaska,Lisa Murkowski,Republican,"2002, (appointed), 2004, 2010",Incumbent re-elected.,Ray Metcalfe,Democratic,11.6,False,R+12,39.5% R[d],https://en.wikipedia.org/wiki/Ray_Metcalfe,general
Arizona,John McCain,Republican,"1986, 1992, 1998, 2004, 2010",Incumbent re-elected.,John McCain,Republican,53.7,True,R+7,59.2% R,https://en.wikipedia.org/wiki/John_McCain,general
Arizona,John McCain,Republican,"1986, 1992, 1998, 2004, 2010",Incumbent re-elected.,Ann Kirkpatrick,Democratic,40.8,False,R+7,59.2% R,https://en.wikipedia.org/wiki/Ann_Kirkpatrick,general
Arizona,John McCain,Republican,"1986, 1992, 1998, 2004, 2010",Incumbent re-elected.,Gary Swing,Green,5.5,False,R+7,59.2% R,,general
Arkansas,John Boozman,Republican,2010,Incumbent re-elected.,John Boozman,Republican,59.7,True,R+14,57.9% R,https://en.wikipedia.org/wiki/John_Boozman,general
Arkansas,John Boozman,Republican,2010,Incumbent re-elected.,Conner Eldridge,Democratic,36.3,False,R+14,57.9% R,https://en.wikipedia.org/wiki/Conner_Eldridge,general
Arkansas,John Boozman,Republican,2010,Incumbent re-elected.,Frank Gilbert,Libertarian,4.0,False,R+14,57.9% R,,general
California,Barbara Boxer,Democratic,"1992, 1998, 2004, 2010",Incumbent retired.Democratic hold.,Kamala Harris,Democratic,61.8,True,D+9,52.2% D,https://en.wikipedia.org/wiki/Kamala_Harris,general
California,Barbara Boxer,Democratic,"1992, 1998, 2004, 2010",Incumbent retired.Democratic hold.,Loretta Sanchez,Democratic,38.2,False,D+9,52.2% D,https://en.wikipedia.org/wiki/Loretta_Sanchez,general
Colorado,Michael Bennet,Democratic,"2009, (appointed), 2010",Incumbent re-elected.,Michael Bennet,Democratic,50.0,True,D+1,47.7% D,https://en.wikipedia.org/wiki/Michael_Bennet,general
Colorado,Michael Bennet,Democratic,"2009, (appointed), 2010",Incumbent re-elected.,Darryl Glenn,Republican,44.3,False,D+1,47.7% D,,general
Colorado,Michael Bennet,Democratic,"2009, (appointed), 2010",Incumbent re-elected.,Lily Tang Williams,Libertarian,3.6,False,D+1,47.7% D,,general
Colorado,Michael Bennet,Democratic,"2009, (appointed), 2010",Incumbent re-elected.,Arn Menconi,Green,1.3,False,D+1,47.7% D,,general
Connecticut,Richard Blumenthal,Democratic,2010,Incumbent re-elected.,Richard Blumenthal,Democratic,63.2,True,D+7,55.2% D,https://en.wikipedia.org/wiki/Richard_Blumenthal,general
Connecticut,Richard Blumenthal,Democratic,2010,Incumbent re-elected.,Dan E. Carter,Republican,34.6,False,D+7,55.2% D,https://en.wikipedia.org/wiki/Dan_E._Carter,general
Connecticut,Richard Blumenthal,Democratic,2010,Incumbent re-elected.,Richard Lion,Libertarian,1.1,False,D+7,55.2% D,,general
Connecticut,Richard Blumenthal,Democratic,2010,Incumbent re-elected.,Jeff Russell,Green,1.0,False,D+7,55.2% D,,general
Florida,Marco Rubio,Republican,2010,Incumbent re-elected.,Marco Rubio,Republican,52.0,True,R+2,48.9% R,https://en.wikipedia.org/wiki/Marco_Rubio,general
Florida,Marco Rubio,Republican,2010,Incumbent re-elected.,Patrick Murphy,Democratic,44.3,False,R+2,48.9% R,https://en.wikipedia.org/wiki/Patrick_Murphy_(Florida_politician),general
Florida,Marco Rubio,Republican,2010,Incumbent re-elected.,Paul Stanton,Libertarian,2.1,False,R+2,48.9% R,,general
Georgia,Johnny Isakson,Republican,"2004, 2010",Incumbent re-elected.,Johnny Isakson,Republican,54.8,True,R+6,58.1% R,https://en.wikipedia.org/wiki/Johnny_Isakson,general
Georgia,Johnny Isakson,Republican,"2004, 2010",Incumbent re-elected.,Jim Barksdale,Democratic,41.0,False,R+6,58.1% R,,general
Georgia,Johnny Isakson,Republican,"2004, 2010",Incumbent re-elected.,Allen Buckley,Libertarian,4.16,False,R+6,58.1% R,,general
Hawaii,Brian Schatz,Democratic,"2012, (appointed), 2014, (special)",Incumbentre-elected.,Brian Schatz,Democratic,73.6,True,D+20,69.8% D(2014 special)[e],https://en.wikipedia.org/wiki/Brian_Schatz,general
Hawaii,Brian Schatz,Democratic,"2012, (appointed), 2014, (special)",Incumbentre-elected.,John Carroll,Republican,22.2,False,D+20,69.8% D(2014 special)[e],https://en.wikipedia.org/wiki/John_Carroll_(Hawaii_politician),general
Idaho,Mike Crapo,Republican,"1998, 2004, 2010",Incumbent re-elected.,Mike Crapo,Republican,66.1,True,R+18,71.2% R,https://en.wikipedia.org/wiki/Mike_Crapo,general
Idaho,Mike Crapo,Republican,"1998, 2004, 2010",Incumbent re-elected.,Jerry Sturgill,Democratic,27.8,False,R+18,71.2% R,https://en.wikipedia.org/wiki/Jerry_Sturgill,general
Idaho,Mike Crapo,Republican,"1998, 2004, 2010",Incumbent re-elected.,Ray Writz,Constitution,6.0,False,R+18,71.2% R,,general
Illinois,Mark Kirk,Republican,"2010, (special), 2010",Incumbent lost re-election.Democratic gain.,Tammy Duckworth,Democratic,54.9,True,D+8,48.2% R,https://en.wikipedia.org/wiki/Tammy_Duckworth,general
Illinois,Mark Kirk,Republican,"2010, (special), 2010",Incumbent lost re-election.Democratic gain.,Mark Kirk,Republican,39.8,False,D+8,48.2% R,https://en.wikipedia.org/wiki/Mark_Kirk,general
Illinois,Mark Kirk,Republican,"2010, (special), 2010",Incumbent lost re-election.Democratic gain.,Kent McMillen,Libertarian,3.2,False,D+8,48.2% R,,general
Illinois,Mark Kirk,Republican,"2010, (special), 2010",Incumbent lost re-election.Democratic gain.,Scott Summers,Green,2.1,False,D+8,48.2% R,,general
Indiana,Dan Coats,Republican,"1989, (appointed), 1990, (special), 1992, 1998, (retired), 2010",Incumbent retired.Republican hold.,Todd Young,Republican,52.1,True,R+5,56.4% R,https://en.wikipedia.org/wiki/Todd_Young,general
Indiana,Dan Coats,Republican,"1989, (appointed), 1990, (special), 1992, 1998, (retired), 2010",Incumbent retired.Republican hold.,Evan Bayh,Democratic,42.4,False,R+5,56.4% R,https://en.wikipedia.org/wiki/Evan_Bayh,general
Indiana,Dan Coats,Republican,"1989, (appointed), 1990, (special), 1992, 1998, (retired), 2010",Incumbent retired.Republican hold.,Lucy Brenton,Libertarian,5.5,False,R+5,56.4% R,,general
Iowa,Chuck Grassley,Republican,"1980, 1986, 1992, 1998, 2004, 2010",Incumbent re-elected.,Chuck Grassley,Republican,60.1,True,D+1,64.5% R,https://en.wikipedia.org/wiki/Chuck_Grassley,general
Iowa,Chuck Grassley,Republican,"1980, 1986, 1992, 1998, 2004, 2010",Incumbent re-elected.,Patty Judge,Democratic,35.7,False,D+1,64.5% R,https://en.wikipedia.org/wiki/Patty_Judge,general
Iowa,Chuck Grassley,Republican,"1980, 1986, 1992, 1998, 2004, 2010",Incumbent re-elected.,John Heiderscheit,Libertarian,2.7,False,D+1,64.5% R,,general
Kansas,Jerry Moran,Republican,2010,Incumbent re-elected.,Jerry Moran,Republican,62.1,True,R+12,70.0% R,https://en.wikipedia.org/wiki/Jerry_Moran,general
Kansas,Jerry Moran,Republican,2010,Incumbent re-elected.,Patrick Wiesner,Democratic,32.2,False,R+12,70.0% R,https://en.wikipedia.org/wiki/Patrick_Wiesner,general
Kansas,Jerry Moran,Republican,2010,Incumbent re-elected.,Robert Garrard,Libertarian,5.5,False,R+12,70.0% R,,general
Kentucky,Rand Paul,Republican,2010,Incumbent re-elected.,Rand Paul,Republican,57.3,True,R+13,55.7% R,https://en.wikipedia.org/wiki/Rand_Paul,general
Kentucky,Rand Paul,Republican,2010,Incumbent re-elected.,Jim Gray,Democratic,42.7,False,R+13,55.7% R,https://en.wikipedia.org/wiki/Jim_Gray_(American_politician),general
Louisiana,David Vitter,Republican,"2004, 2010",Incumbent retired.Republican hold.,John Kennedy,Republican,60.65,True,R+12,56.6% R,https://en.wikipedia.org/wiki/John_Kennedy_(Louisiana_politician),general
Louisiana,David Vitter,Republican,"2004, 2010",Incumbent retired.Republican hold.,Foster Campbell,Democratic,39.35,False,R+12,56.6% R,https://en.wikipedia.org/wiki/Foster_Campbell,general
Maryland,Barbara Mikulski,Democratic,"1986, 1992, 1998, 2004, 2010",Incumbent retired.Democratic hold.,Chris Van Hollen,Democratic,60.9,True,D+10,62.2% D,https://en.wikipedia.org/wiki/Chris_Van_Hollen,general
Maryland,Barbara Mikulski,Democratic,"1986, 1992, 1998, 2004, 2010",Incumbent retired.Democratic hold.,Kathy Szeliga,Republican,35.7,False,D+10,62.2% D,https://en.wikipedia.org/wiki/Kathy_Szeliga,general
Maryland,Barbara Mikulski,Democratic,"1986, 1992, 1998, 2004, 2010",Incumbent retired.Democratic hold.,Margaret Flowers,Green,3.3,False,D+10,62.2% D,,general
Missouri,Roy Blunt,Republican,2010,Incumbentre-elected.,Roy Blunt,Republican,49.3,True,R+5,54.3% R,https://en.wikipedia.org/wiki/Roy_Blunt,general
Missouri,Roy Blunt,Republican,2010,Incumbentre-elected.,Jason Kander,Democratic,46.2,False,R+5,54.3% R,https://en.wikipedia.org/wiki/Jason_Kander,general
Missouri,Roy Blunt,Republican,2010,Incumbentre-elected.,Jonathan Dine,Libertarian,2.42,False,R+5,54.3% R,,general
Nevada,Harry Reid,Democratic,"1986, 1992, 1998, 2004, 2010",Incumbent retired.Democratic hold.,Catherine Cortez Masto,Democratic,47.1,True,D+2,50.2% D,https://en.wikipedia.org/wiki/Catherine_Cortez_Masto,general
Nevada,Harry Reid,Democratic,"1986, 1992, 1998, 2004, 2010",Incumbent retired.Democratic hold.,Joe Heck,Republican,44.7,False,D+2,50.2% D,https://en.wikipedia.org/wiki/Joe_Heck,general
Nevada,Harry Reid,Democratic,"1986, 1992, 1998, 2004, 2010",Incumbent retired.Democratic hold.,Tom Jones,Independent American,1.55,False,D+2,50.2% D,,general
Nevada,Harry Reid,Democratic,"1986, 1992, 1998, 2004, 2010",Incumbent retired.Democratic hold.,Tony Gumina,unaffiliated,0.97,False,D+2,50.2% D,,general
Nevada,Harry Reid,Democratic,"1986, 1992, 1998, 2004, 2010",Incumbent retired.Democratic hold.,Jarrod Michael Williams,unaffiliated,0.62,False,D+2,50.2% D,,general
New Hampshire,Kelly Ayotte,Republican,2010,Incumbent lost re-election.Democratic gain.,Maggie Hassan,Democratic,47.97,True,D+1,60.2% R,https://en.wikipedia.org/wiki/Maggie_Hassan,general
New Hampshire,Kelly Ayotte,Republican,2010,Incumbent lost re-election.Democratic gain.,Kelly Ayotte,Republican,47.87,False,D+1,60.2% R,https://en.wikipedia.org/wiki/Kelly_Ayotte,general
