state,incumbent_name,incumbent_party,electoral_history,result_text,candidate_name,party,vote_percentage,is_winner,pvi,last_election_result,wikipedia_url,election_type
California,Laphonza Butler,Democratic,"2023, (appointed)",Interim appointee retired.[42]Democratic hold.Winner also elected to the next term; see below.,Adam Schiff,Democratic,58.75,True,D+13,Appointed(2023)[m],https://en.wikipedia.org/wiki/Adam_Schiff,special
California,Laphonza Butler,Democratic,"2023, (appointed)",Interim appointee retired.[42]Democratic hold.Winner also elected to the next term; see below.,Steve Garvey,Republican,41.25,False,D+13,Appointed(2023)[m],https://en.wikipedia.org/wiki/Steve_Garvey,special
Nebraska,Pete Ricketts,Republican,"2023, (appointed)",Interim appointee elected.,Pete Ricketts,Republican,62.64,True,R+13,Appointed(2023)[n],https://en.wikipedia.org/wiki/Pete_Ricketts,special
Nebraska,Pete Ricketts,Republican,"2023, (appointed)",Interim appointee elected.,Preston Love Jr.,Democratic,37.36,False,R+13,Appointed(2023)[n],https://en.wikipedia.org/wiki/Preston_Love_Jr.,special
Arizona,Kyrsten Sinema,Independent,2018,Incumbent retired.[41]Democratic gain.,Ruben Gallego,Democratic,50.06,True,R+2,49.96% D[k],https://en.wikipedia.org/wiki/Ruben_Gallego,general
Arizona,Kyrsten Sinema,Independent,2018,Incumbent retired.[41]Democratic gain.,Kari Lake,Republican,47.65,False,R+2,49.96% D[k],https://en.wikipedia.org/wiki/Kari_Lake,general
Arizona,Kyrsten Sinema,Independent,2018,Incumbent retired.[41]Democratic gain.,Eduardo Heredia-Quintana,Green,2.29,False,R+2,49.96% D[k],,general
California,Laphonza Butler,Democratic,"2023, (appointed)",Interim appointee retired.[42]Democratic hold.Winner also elected to finish the term; see above.,Adam Schiff,Democratic,58.87,True,D+13,Appointed(2023)[m],https://en.wikipedia.org/wiki/Adam_Schiff,general
California,Laphonza Butler,Democratic,"2023, (appointed)",Interim appointee retired.[42]Democratic hold.Winner also elected to finish the term; see above.,Steve Garvey,Republican,41.13,False,D+13,Appointed(2023)[m],https://en.wikipedia.org/wiki/Steve_Garvey,general
Connecticut,Chris Murphy,Democratic,"2012, 2018",Incumbent re-elected.,Chris Murphy,Democratic,58.58,True,D+7,59.53% D,https://en.wikipedia.org/wiki/Chris_Murphy,general
Connecticut,Chris Murphy,Democratic,"2012, 2018",Incumbent re-elected.,Matthew Corey,Republican,39.78,False,D+7,59.53% D,,general
Connecticut,Chris Murphy,Democratic,"2012, 2018",Incumbent re-elected.,Robert F. Hyde,Independent,0.9,False,D+7,59.53% D,https://en.wikipedia.org/wiki/Robert_F._Hyde,general
Connecticut,Chris Murphy,Democratic,"2012, 2018",Incumbent re-elected.,Justin Paglino,Green,0.8,False,D+7,59.53% D,,general
Delaware,Tom Carper,Democratic,"2000, 2006, 2012, 2018",Incumbent retired.[43]Democratic hold.,Lisa Blunt Rochester,Democratic,56.6,True,D+7,59.95% D,https://en.wikipedia.org/wiki/Lisa_Blunt_Rochester,general
Delaware,Tom Carper,Democratic,"2000, 2006, 2012, 2018",Incumbent retired.[43]Democratic hold.,Eric Hansen,Republican,39.5,False,D+7,59.95% D,,general
Delaware,Tom Carper,Democratic,"2000, 2006, 2012, 2018",Incumbent retired.[43]Democratic hold.,Michael Katz,Independent Party,3.9,False,D+7,59.95% D,https://en.wikipedia.org/wiki/Michael_Katz_(politician),general
Florida,Rick Scott,Republican,2018,Incumbent re-elected.,Rick Scott,Republican,55.57,True,R+3,50.05% R,https://en.wikipedia.org/wiki/Rick_Scott,general
Florida,Rick Scott,Republican,2018,Incumbent re-elected.,Debbie Mucarsel-Powell,Democratic,42.79,False,R+3,50.05% R,https://en.wikipedia.org/wiki/Debbie_Mucarsel-Powell,general
Florida,Rick Scott,Republican,2018,Incumbent re-elected.,Ben Everidge,Independent,0.6,False,R+3,50.05% R,,general
Florida,Rick Scott,Republican,2018,Incumbent re-elected.,Feena Bonoan,Libertarian,0.5,False,R+3,50.05% R,,general
Florida,Rick Scott,Republican,2018,Incumbent re-elected.,Tuan Nguyen,Independent,0.5,False,R+3,50.05% R,,general
Hawaii,Mazie Hirono,Democratic,"2012, 2018",Incumbent re-elected.,Mazie Hirono,Democratic,64.6,True,D+14,71.15% D,https://en.wikipedia.org/wiki/Mazie_Hirono,general
Hawaii,Mazie Hirono,Democratic,"2012, 2018",Incumbent re-elected.,Bob McDermott,Republican,31.9,False,D+14,71.15% D,https://en.wikipedia.org/wiki/Bob_McDermott,general
Hawaii,Mazie Hirono,Democratic,"2012, 2018",Incumbent re-elected.,Shelby Billionaire,We the People,1.8,False,D+14,71.15% D,,general
Hawaii,Mazie Hirono,Democratic,"2012, 2018",Incumbent re-elected.,Emma Pohlman,Green,1.7,False,D+14,71.15% D,,general
Indiana,Mike Braun,Republican,2018,Incumbent retired torun for governor.[44]Republican hold.,Jim Banks,Republican,58.64,True,R+11,50.73% R,https://en.wikipedia.org/wiki/Jim_Banks,general
Indiana,Mike Braun,Republican,2018,Incumbent retired torun for governor.[44]Republican hold.,Valerie McCray,Democratic,38.77,False,R+11,50.73% R,,general
Indiana,Mike Braun,Republican,2018,Incumbent retired torun for governor.[44]Republican hold.,Andy Horning,Libertarian,2.59,False,R+11,50.73% R,,general
Maine,Angus King,Independent,"2012, 2018",Incumbent re-elected.,Angus King,Independent,52.06,True,D+2,54.31% I,https://en.wikipedia.org/wiki/Angus_King,general
Maine,Angus King,Independent,"2012, 2018",Incumbent re-elected.,Demitroula Kouzounas,Republican,34.64,False,D+2,54.31% I,,general
Maine,Angus King,Independent,"2012, 2018",Incumbent re-elected.,David Costello,Democratic,10.83,False,D+2,54.31% I,,general
Maine,Angus King,Independent,"2012, 2018",Incumbent re-elected.,Jason Cherry,Independent,2.5,False,D+2,54.31% I,,general
Maryland,Ben Cardin,Democratic,"2006, 2012, 2018",Incumbent retired.[45]Democratic hold.,Angela Alsobrooks,Democratic,54.64,True,D+14,64.86% D,https://en.wikipedia.org/wiki/Angela_Alsobrooks,general
Maryland,Ben Cardin,Democratic,"2006, 2012, 2018",Incumbent retired.[45]Democratic hold.,Larry Hogan,Republican,42.84,False,D+14,64.86% D,https://en.wikipedia.org/wiki/Larry_Hogan,general
Maryland,Ben Cardin,Democratic,"2006, 2012, 2018",Incumbent retired.[45]Democratic hold.,Mike Scott,Libertarian,2.52,False,D+14,64.86% D,,general
Massachusetts,Elizabeth Warren,Democratic,"2012, 2018",Incumbent re-elected.,Elizabeth Warren,Democratic,59.81,True,D+15,60.34% D,https://en.wikipedia.org/wiki/Elizabeth_Warren,general
Massachusetts,Elizabeth Warren,Democratic,"2012, 2018",Incumbent re-elected.,John Deaton,Republican,40.0,False,D+15,60.34% D,,general
Michigan,Debbie Stabenow,Democratic,"2000, 2006, 2012, 2018",Incumbent retired.[16]Democratic hold.,Elissa Slotkin,Democratic,48.64,True,R+1,52.26% D,https://en.wikipedia.org/wiki/Elissa_Slotkin,general
Michigan,Debbie Stabenow,Democratic,"2000, 2006, 2012, 2018",Incumbent retired.[16]Democratic hold.,Mike Rogers,Republican,48.3,False,R+1,52.26% D,https://en.wikipedia.org/wiki/Mike_Rogers_(Michigan_politician),general
Michigan,Debbie Stabenow,Democratic,"2000, 2006, 2012, 2018",Incumbent retired.[16]Democratic hold.,Joseph Solis-Mullen,Libertarian,1.0,False,R+1,52.26% D,,general
Michigan,Debbie Stabenow,Democratic,"2000, 2006, 2012, 2018",Incumbent retired.[16]Democratic hold.,Douglas Marsh,Green,1.0,False,R+1,52.26% D,,general
Michigan,Debbie Stabenow,Democratic,"2000, 2006, 2012, 2018",Incumbent retired.[16]Democratic hold.,Dave Stein,Constitution,0.7,False,R+1,52.26% D,,general
Michigan,Debbie Stabenow,Democratic,"2000, 2006, 2012, 2018",Incumbent retired.[16]Democratic hold.,Doug Dern,Natural Law,0.3,False,R+1,52.26% D,,general
Minnesota,Amy Klobuchar,DFL,"2006, 2012, 2018",Incumbent re-elected.,Amy Klobuchar,DFL,56.2,True,D+1,60.31% D,https://en.wikipedia.org/wiki/Amy_Klobuchar,general
Minnesota,Amy Klobuchar,DFL,"2006, 2012, 2018",Incumbent re-elected.,Royce White,Republican,40.5,False,D+1,60.31% D,https://en.wikipedia.org/wiki/Royce_White,general
