state,district,candidate_name,party,vote_percentage,is_incumbent,is_winner,pvi,election_type,wikipedia_url
Alabama,Alabama 1,Jo Bonner,Republican,97.9,True,True,R+14,general,https://en.wikipedia.org/wiki/Jo_Bonner
Alabama,Alabama 2,Martha Roby,Republican,63.7,True,True,R+18,general,https://en.wikipedia.org/wiki/Martha_Roby
Alabama,Alabama 2,Therese Ford,Democratic,36.3,False,False,R+18,general,https://en.wikipedia.org/wiki/Therese_Ford
Alabama,Alabama 3,Mike D. Rogers,Republican,64.1,True,True,R+15,general,https://en.wikipedia.org/wiki/Mike_D._Rogers
Alabama,Alabama 3,John Andrew Harris,Democratic,35.9,False,False,R+15,general,https://en.wikipedia.org/wiki/John_Andrew_Harris
Alabama,Alabama 4,Robert Aderholt,Republican,74.0,True,True,R+23,general,https://en.wikipedia.org/wiki/Robert_Aderholt
Alabama,Alabama 4,Daniel Boman,Democratic,26.0,False,False,R+23,general,https://en.wikipedia.org/wiki/Daniel_Boman
Alabama,Alabama 5,Mo Brooks,Republican,65.0,True,True,R+14,general,https://en.wikipedia.org/wiki/Mo_Brooks
Alabama,Alabama 5,Charlie Holley,Democratic,35.0,False,False,R+14,general,https://en.wikipedia.org/wiki/Charlie_Holley
Alabama,Alabama 6,Spencer Bachus,Republican,71.4,True,True,R+28,general,https://en.wikipedia.org/wiki/Spencer_Bachus
Alabama,Alabama 6,Penny Bailey,Democratic,28.6,False,False,R+28,general,https://en.wikipedia.org/wiki/Penny_Bailey
Alabama,Alabama 7,Terri Sewell,Democratic,75.8,True,True,D+17,general,https://en.wikipedia.org/wiki/Terri_Sewell
Alabama,Alabama 7,Don Chamberlain,Republican,24.2,False,False,D+17,general,https://en.wikipedia.org/wiki/Don_Chamberlain
Alaska,Alaska at-large,Don Young,Republican,64.7,True,True,R+13,general,https://en.wikipedia.org/wiki/Don_Young
Alaska,Alaska at-large,Sharon Cissna,Democratic,28.4,False,False,R+13,general,https://en.wikipedia.org/wiki/Sharon_Cissna
Alaska,Alaska at-large,Jim C. McDermott,Libertarian,5.1,False,False,R+13,general,
Alaska,Alaska at-large,Ted Gianoutsos,Independent,1.9,False,False,R+13,general,
Arizona,Arizona 1,Ann Kirkpatrick,Democratic,48.8,False,True,R+3,general,https://en.wikipedia.org/wiki/Ann_Kirkpatrick
Arizona,Arizona 1,Jonathan Paton,Republican,45.1,False,False,R+3,general,https://en.wikipedia.org/wiki/Jonathan_Paton
Arizona,Arizona 1,Kim Allen,Libertarian,6.0,False,False,R+3,general,
Arizona,Arizona 2,Ron Barber,Democratic,50.42,False,True,R+2,general,https://en.wikipedia.org/wiki/Ron_Barber
Arizona,Arizona 2,Martha McSally,Republican,49.58,False,False,R+2,general,https://en.wikipedia.org/wiki/Martha_McSally
Arizona,Arizona 2,Anthony Powell,Libertarian,0.02,False,False,R+2,general,
Arizona,Arizona 3,Raúl Grijalva,Democratic,57.8,False,True,D+7,general,https://en.wikipedia.org/wiki/Ra%C3%BAl_Grijalva
Arizona,Arizona 3,Gabby Saucedo Mercer,Republican,37.7,False,False,D+7,general,
Arizona,Arizona 3,Blanca Guerra,Libertarian,4.4,False,False,D+7,general,
Arizona,Arizona 4,Paul Gosar,Republican,67.0,False,True,R+16,general,https://en.wikipedia.org/wiki/Paul_Gosar
Arizona,Arizona 4,Johnnie Robinson,Democratic,28.3,False,False,R+16,general,https://en.wikipedia.org/wiki/Johnnie_Robinson
Arizona,Arizona 4,Joe Pamelia,Libertarian,3.7,False,False,R+16,general,
Arizona,Arizona 4,Richard Grayson,Americans Elect,1.0,False,False,R+16,general,
Arizona,Arizona 5,Matt Salmon,Republican,67.2,False,True,R+16,general,https://en.wikipedia.org/wiki/Matt_Salmon
Arizona,Arizona 5,Spencer Morgan,Democratic,32.7,False,False,R+16,general,https://en.wikipedia.org/wiki/Spencer_Morgan
Arizona,Arizona 6,David Schweikert,Republican,61.7,False,True,R+10,general,https://en.wikipedia.org/wiki/David_Schweikert
Arizona,Arizona 6,Matt Jette,Democratic,33.1,False,False,R+10,general,https://en.wikipedia.org/wiki/Matt_Jette
Arizona,Arizona 6,Jack Anderson,Libertarian,3.3,False,False,R+10,general,
Arizona,Arizona 6,Mark Salazar,Green,1.8,False,False,R+10,general,
Arizona,Arizona 7,Ed Pastor,Democratic,80.3,False,True,D+12,general,https://en.wikipedia.org/wiki/Ed_Pastor
Arizona,Arizona 7,Joe Cobb,Libertarian,19.2,False,False,D+12,general,
Arizona,Arizona 8,Trent Franks,Republican,63.6,False,True,R+13,general,https://en.wikipedia.org/wiki/Trent_Franks
Arizona,Arizona 8,Gene Scharer,Democratic,34.8,False,False,R+13,general,https://en.wikipedia.org/wiki/Gene_Scharer
Arizona,Arizona 8,Stephen Dolgos,Americans Elect,1.5,False,False,R+13,general,
Arizona,Arizona 8,Ron Barber,Democratic,52.3,False,True,,special,https://en.wikipedia.org/wiki/Ron_Barber
Arizona,Arizona 8,Jesse Kelly,Republican,45.4,False,False,,special,
Arizona,Arizona 8,Charlie Manolakis,Green,2.3,False,False,,special,
Arizona,Arizona 9,Kyrsten Sinema,Democratic,48.5,False,True,R+1,general,https://en.wikipedia.org/wiki/Kyrsten_Sinema
Arizona,Arizona 9,Vernon Parker,Republican,44.8,False,False,R+1,general,https://en.wikipedia.org/wiki/Vernon_Parker
Arizona,Arizona 9,Powell Gammill,Libertarian,6.6,False,False,R+1,general,
Arkansas,Arkansas 1,Rick Crawford,Republican,56.4,True,True,R+7,general,https://en.wikipedia.org/wiki/Rick_Crawford_(politician)
Arkansas,Arkansas 1,Scott Ellington,Democratic,39.0,False,False,R+7,general,
Arkansas,Arkansas 1,Jessica Paxton,Libertarian,2.6,False,False,R+7,general,
