state,incumbent_name,incumbent_party,electoral_history,result_text,candidate_name,party,vote_percentage,is_winner,pvi,last_election_result,wikipedia_url,election_type
Arizona,Jon Kyl,Republican,"1994, 2000, 2006",Incumbent retired.[5]Republican hold.,Jeff Flake,Republican,49.2,True,,53.3% R,https://en.wikipedia.org/wiki/Jeff_Flake,general
Arizona,Jon Kyl,Republican,"1994, 2000, 2006",Incumbent retired.[5]Republican hold.,Richard Carmona,Democratic,46.1,False,,53.3% R,https://en.wikipedia.org/wiki/Richard_Carmona,general
Arizona,Jon Kyl,Republican,"1994, 2000, 2006",Incumbent retired.[5]Republican hold.,Marc Victor,Libertarian,4.6,False,,53.3% R,,general
California,Dianne Feinstein,Democratic,"1992, (special), 1994, 2000, 2006",Incumbentre-elected.,Dianne Feinstein,Democratic,62.5,True,,59.4% D,https://en.wikipedia.org/wiki/Dianne_Feinstein,general
California,Dianne Feinstein,Democratic,"1992, (special), 1994, 2000, 2006",Incumbentre-elected.,Elizabeth Emken,Republican,37.5,False,,59.4% D,https://en.wikipedia.org/wiki/Elizabeth_Emken,general
Connecticut,Joe Lieberman,IndependentDemocrat,"1988, 1994, 2000, 2006",Incumbent retired.[6]Democratic gain.,Chris Murphy,Democratic,54.8,True,,49.7% I,https://en.wikipedia.org/wiki/Chris_Murphy,general
Connecticut,Joe Lieberman,IndependentDemocrat,"1988, 1994, 2000, 2006",Incumbent retired.[6]Democratic gain.,Linda McMahon,Republican,43.1,False,,49.7% I,https://en.wikipedia.org/wiki/Linda_McMahon,general
Connecticut,Joe Lieberman,IndependentDemocrat,"1988, 1994, 2000, 2006",Incumbent retired.[6]Democratic gain.,Paul Passarelli,Libertarian,1.7,False,,49.7% I,,general
Delaware,Tom Carper,Democratic,"2000, 2006",Incumbent re-elected.,Tom Carper,Democratic,66.4,True,,67.1% D,https://en.wikipedia.org/wiki/Tom_Carper,general
Delaware,Tom Carper,Democratic,"2000, 2006",Incumbent re-elected.,Kevin Wade,Republican,29.0,False,,67.1% D,,general
Delaware,Tom Carper,Democratic,"2000, 2006",Incumbent re-elected.,Alex Pires,Independent,3.8,False,,67.1% D,,general
Delaware,Tom Carper,Democratic,"2000, 2006",Incumbent re-elected.,Andrew Groff,Green,0.8,False,,67.1% D,https://en.wikipedia.org/wiki/Andrew_Groff,general
Florida,Bill Nelson,Democratic,"2000, 2006",Incumbent re-elected.,Bill Nelson,Democratic,55.2,True,,60.3% D,https://en.wikipedia.org/wiki/Bill_Nelson,general
Florida,Bill Nelson,Democratic,"2000, 2006",Incumbent re-elected.,Connie Mack IV,Republican,42.2,False,,60.3% D,https://en.wikipedia.org/wiki/Connie_Mack_IV,general
Florida,Bill Nelson,Democratic,"2000, 2006",Incumbent re-elected.,Chris Borgia,Independent,1.0,False,,60.3% D,,general
Florida,Bill Nelson,Democratic,"2000, 2006",Incumbent re-elected.,Bill Gaylor,Independent,1.5,False,,60.3% D,,general
Hawaii,Daniel Akaka,Democratic,"1990, (appointed), 1990, (special), 1994, 2000, 2006",Incumbent retired.[7]Democratic hold.,Mazie Hirono,Democratic,62.6,True,,61.4% D,https://en.wikipedia.org/wiki/Mazie_Hirono,general
Hawaii,Daniel Akaka,Democratic,"1990, (appointed), 1990, (special), 1994, 2000, 2006",Incumbent retired.[7]Democratic hold.,Linda Lingle,Republican,37.4,False,,61.4% D,https://en.wikipedia.org/wiki/Linda_Lingle,general
Indiana,Richard Lugar,Republican,"1976, 1982, 1988, 1994, 2000, 2006",Incumbent lost renomination.[8]Democratic gain.,Joe Donnelly,Democratic,50.0,True,,87.3% R,https://en.wikipedia.org/wiki/Joe_Donnelly,general
Indiana,Richard Lugar,Republican,"1976, 1982, 1988, 1994, 2000, 2006",Incumbent lost renomination.[8]Democratic gain.,Richard Mourdock,Republican,44.2,False,,87.3% R,https://en.wikipedia.org/wiki/Richard_Mourdock,general
Indiana,Richard Lugar,Republican,"1976, 1982, 1988, 1994, 2000, 2006",Incumbent lost renomination.[8]Democratic gain.,Andrew Horning,Libertarian,5.7,False,,87.3% R,,general
Maine,Olympia Snowe,Republican,"1994, 2000, 2006",Incumbent retired.[9]Independent gain.,Angus King,Independent,52.9,True,,74.4% R,https://en.wikipedia.org/wiki/Angus_King,general
Maine,Olympia Snowe,Republican,"1994, 2000, 2006",Incumbent retired.[9]Independent gain.,Charlie Summers,Republican,30.7,False,,74.4% R,https://en.wikipedia.org/wiki/Charlie_Summers,general
Maine,Olympia Snowe,Republican,"1994, 2000, 2006",Incumbent retired.[9]Independent gain.,Cynthia Dill,Democratic,13.3,False,,74.4% R,https://en.wikipedia.org/wiki/Cynthia_Dill,general
Maine,Olympia Snowe,Republican,"1994, 2000, 2006",Incumbent retired.[9]Independent gain.,Danny F. Dalton,Independent,0.8,False,,74.4% R,,general
Maine,Olympia Snowe,Republican,"1994, 2000, 2006",Incumbent retired.[9]Independent gain.,Andrew Ian Dodge,Libertarian,0.8,False,,74.4% R,,general
Maryland,Ben Cardin,Democratic,2006,Incumbent re-elected.,Ben Cardin,Democratic,56.0,True,,54.2% D,https://en.wikipedia.org/wiki/Ben_Cardin,general
Maryland,Ben Cardin,Democratic,2006,Incumbent re-elected.,Dan Bongino,Republican,26.3,False,,54.2% D,https://en.wikipedia.org/wiki/Dan_Bongino,general
Maryland,Ben Cardin,Democratic,2006,Incumbent re-elected.,Rob Sobhani,Independent,16.4,False,,54.2% D,https://en.wikipedia.org/wiki/Rob_Sobhani,general
Maryland,Ben Cardin,Democratic,2006,Incumbent re-elected.,Imad-ad-Dean Ahmad,Libertarian,1.2,False,,54.2% D,https://en.wikipedia.org/wiki/Imad-ad-Dean_Ahmad,general
Massachusetts,Scott Brown,Republican,"2010, (special)",Incumbent lost re-election.Democratic gain.,Elizabeth Warren,Democratic,53.7,True,,51.9% R(2010 special)[l],https://en.wikipedia.org/wiki/Elizabeth_Warren,general
Massachusetts,Scott Brown,Republican,"2010, (special)",Incumbent lost re-election.Democratic gain.,Scott Brown,Republican,46.3,False,,51.9% R(2010 special)[l],https://en.wikipedia.org/wiki/Scott_Brown_(politician),general
Michigan,Debbie Stabenow,Democratic,"2000, 2006",Incumbent re-elected.,Debbie Stabenow,Democratic,58.8,True,,56.9% D,https://en.wikipedia.org/wiki/Debbie_Stabenow,general
Michigan,Debbie Stabenow,Democratic,"2000, 2006",Incumbent re-elected.,Pete Hoekstra,Republican,38.0,False,,56.9% D,https://en.wikipedia.org/wiki/Pete_Hoekstra,general
Michigan,Debbie Stabenow,Democratic,"2000, 2006",Incumbent re-elected.,Scotty Boman,Libertarian,1.8,False,,56.9% D,https://en.wikipedia.org/wiki/Scott_Boman,general
Michigan,Debbie Stabenow,Democratic,"2000, 2006",Incumbent re-elected.,Harley Mikkelson,Green,0.6,False,,56.9% D,,general
Michigan,Debbie Stabenow,Democratic,"2000, 2006",Incumbent re-elected.,Richard Matkin,Constitution,0.6,False,,56.9% D,,general
Michigan,Debbie Stabenow,Democratic,"2000, 2006",Incumbent re-elected.,John Litle,Natural Law,0.2,False,,56.9% D,,general
Minnesota,Amy Klobuchar,DFL,2006,Incumbent re-elected.,Amy Klobuchar,DFL,65.2,True,,58.1% D,https://en.wikipedia.org/wiki/Amy_Klobuchar,general
Minnesota,Amy Klobuchar,DFL,2006,Incumbent re-elected.,Kurt Bills,Republican,30.6,False,,58.1% D,https://en.wikipedia.org/wiki/Kurt_Bills,general
Minnesota,Amy Klobuchar,DFL,2006,Incumbent re-elected.,Stephen Williams,Independence,2.6,False,,58.1% D,,general
Minnesota,Amy Klobuchar,DFL,2006,Incumbent re-elected.,Tim Davis,Grassroots,1.1,False,,58.1% D,,general
Minnesota,Amy Klobuchar,DFL,2006,Incumbent re-elected.,Michael Cavlan,Open Progressive,0.5,False,,58.1% D,,general
Mississippi,Roger Wicker,Republican,"2007, (appointed), 2008, (special)",Incumbent re-elected.,Roger Wicker,Republican,57.2,True,,55.0% R(2008 special)[m],https://en.wikipedia.org/wiki/Roger_Wicker,general
Mississippi,Roger Wicker,Republican,"2007, (appointed), 2008, (special)",Incumbent re-elected.,Albert N. Gore Jr.,Democratic,40.6,False,,55.0% R(2008 special)[m],,general
