state,incumbent_name,incumbent_party,electoral_history,result_text,candidate_name,party,vote_percentage,is_winner,pvi,last_election_result,wikipedia_url,election_type
Arizona,Martha McSally,Republican,"2019, (appointed)","Interim appointee lost election.New senator elected November 3, 2020 and seated December 2, 2020.Democratic gain.",Mark Kelly,Democratic,51.2,True,R+5,Appointed(2019)[m],https://en.wikipedia.org/wiki/Mark_Kelly,special
Arizona,Martha McSally,Republican,"2019, (appointed)","Interim appointee lost election.New senator elected November 3, 2020 and seated December 2, 2020.Democratic gain.",Martha McSally,Republican,48.8,False,R+5,Appointed(2019)[m],https://en.wikipedia.org/wiki/Martha_McSally,special
Georgia,Kelly Loeffler,Republican,"2020, (appointed)","Interim appointee lost election in runoff.New senator elected January 5, 2021.Democratic gain.Winner delayed term until January 20, 2021, to the start ofBiden administration.",Raphael Warnock,Democratic,51.0,True,R+5,Appointed(2020)[o],https://en.wikipedia.org/wiki/Raphael_Warnock,special
Georgia,Kelly Loeffler,Republican,"2020, (appointed)","Interim appointee lost election in runoff.New senator elected January 5, 2021.Democratic gain.Winner delayed term until January 20, 2021, to the start ofBiden administration.",Kelly Loeffler,Republican,49.0,False,R+5,Appointed(2020)[o],https://en.wikipedia.org/wiki/Kelly_Loeffler,special
Alabama,Doug Jones,Democratic,"2017, (special)",Incumbent lost re-election.Republican gain.,Tommy Tuberville,Republican,60.1,True,R+14,50.0% D(2017 special)[l],https://en.wikipedia.org/wiki/Tommy_Tuberville,general
Alabama,Doug Jones,Democratic,"2017, (special)",Incumbent lost re-election.Republican gain.,Doug Jones,Democratic,39.7,False,R+14,50.0% D(2017 special)[l],https://en.wikipedia.org/wiki/Doug_Jones_(politician),general
Alaska,Dan Sullivan,Republican,2014,Incumbent re-elected.,Dan Sullivan,Republican,53.9,True,R+9,48.0% R,https://en.wikipedia.org/wiki/Dan_Sullivan_(U.S._senator),general
Alaska,Dan Sullivan,Republican,2014,Incumbent re-elected.,Al Gross,Independent,41.2,False,R+9,48.0% R,https://en.wikipedia.org/wiki/Al_Gross_(politician),general
Alaska,Dan Sullivan,Republican,2014,Incumbent re-elected.,John Wayne Howe,AKIP,4.7,False,R+9,48.0% R,,general
Arkansas,Tom Cotton,Republican,2014,Incumbent re-elected.,Tom Cotton,Republican,66.5,True,R+15,56.5% R,https://en.wikipedia.org/wiki/Tom_Cotton,general
Arkansas,Tom Cotton,Republican,2014,Incumbent re-elected.,Ricky Dale Harrington Jr.,Libertarian,33.5,False,R+15,56.5% R,,general
Colorado,Cory Gardner,Republican,2014,Incumbent lost re-election.Democratic gain.,John Hickenlooper,Democratic,53.5,True,D+1,48.2% R,https://en.wikipedia.org/wiki/John_Hickenlooper,general
Colorado,Cory Gardner,Republican,2014,Incumbent lost re-election.Democratic gain.,Cory Gardner,Republican,44.2,False,D+1,48.2% R,https://en.wikipedia.org/wiki/Cory_Gardner,general
Colorado,Cory Gardner,Republican,2014,Incumbent lost re-election.Democratic gain.,Raymon Doane,Libertarian,1.7,False,D+1,48.2% R,,general
Colorado,Cory Gardner,Republican,2014,Incumbent lost re-election.Democratic gain.,Daniel Doyle,Approval Voting,0.3,False,D+1,48.2% R,,general
Colorado,Cory Gardner,Republican,2014,Incumbent lost re-election.Democratic gain.,"Stephan ""Seku"" Evans",Unity,0.3,False,D+1,48.2% R,,general
Delaware,Chris Coons,Democratic,"2010, (special), 2014",Incumbent re-elected.,Chris Coons,Democratic,59.4,True,D+6,55.8% D,https://en.wikipedia.org/wiki/Chris_Coons,general
Delaware,Chris Coons,Democratic,"2010, (special), 2014",Incumbent re-elected.,Lauren Witzke,Republican,37.9,False,D+6,55.8% D,https://en.wikipedia.org/wiki/Lauren_Witzke,general
Delaware,Chris Coons,Democratic,"2010, (special), 2014",Incumbent re-elected.,Mark Turley,IPOD,1.6,False,D+6,55.8% D,,general
Delaware,Chris Coons,Democratic,"2010, (special), 2014",Incumbent re-elected.,Nadine Frost,Libertarian,1.1,False,D+6,55.8% D,,general
Georgia,David Perdue,Republican,2014,"Incumbent term expired but lost re-election in runoff.Democratic gain.Winner delayed term until January 20, 2021, to the start of Biden administration.",David Perdue,Republican,49.7,True,R+5,52.9% R,https://en.wikipedia.org/wiki/David_Perdue,general
Georgia,David Perdue,Republican,2014,"Incumbent term expired but lost re-election in runoff.Democratic gain.Winner delayed term until January 20, 2021, to the start of Biden administration.",Jon Ossoff,Democratic,47.9,True,R+5,52.9% R,https://en.wikipedia.org/wiki/Jon_Ossoff,general
Georgia,David Perdue,Republican,2014,"Incumbent term expired but lost re-election in runoff.Democratic gain.Winner delayed term until January 20, 2021, to the start of Biden administration.",Shane Hazel,Libertarian,0.4,False,R+5,52.9% R,,general
Georgia,David Perdue,Republican,2014,"Incumbent term expired but lost re-election in runoff.Democratic gain.Winner delayed term until January 20, 2021, to the start of Biden administration.",Jon Ossoff,Democratic,50.6,True,R+5,52.9% R,https://en.wikipedia.org/wiki/Jon_Ossoff,general
Georgia,David Perdue,Republican,2014,"Incumbent term expired but lost re-election in runoff.Democratic gain.Winner delayed term until January 20, 2021, to the start of Biden administration.",David Perdue,Republican,49.4,False,R+5,52.9% R,https://en.wikipedia.org/wiki/David_Perdue,general
Idaho,Jim Risch,Republican,"2008, 2014",Incumbent re-elected.,Jim Risch,Republican,62.6,True,R+19,65.3% R,https://en.wikipedia.org/wiki/Jim_Risch,general
Idaho,Jim Risch,Republican,"2008, 2014",Incumbent re-elected.,Paulette Jordan,Democratic,33.3,False,R+19,65.3% R,https://en.wikipedia.org/wiki/Paulette_Jordan,general
Idaho,Jim Risch,Republican,"2008, 2014",Incumbent re-elected.,Natalie Fleming,Independent,2.9,False,R+19,65.3% R,,general
Idaho,Jim Risch,Republican,"2008, 2014",Incumbent re-elected.,Ray Writz,Constitution,1.2,False,R+19,65.3% R,,general
Illinois,Dick Durbin,Democratic,"1996, 2002, 2008, 2014",Incumbent re-elected.,Dick Durbin,Democratic,54.9,True,D+7,53.5% D,https://en.wikipedia.org/wiki/Dick_Durbin,general
Illinois,Dick Durbin,Democratic,"1996, 2002, 2008, 2014",Incumbent re-elected.,Mark Curran,Republican,38.9,False,D+7,53.5% D,https://en.wikipedia.org/wiki/Mark_Curran,general
Illinois,Dick Durbin,Democratic,"1996, 2002, 2008, 2014",Incumbent re-elected.,Willie Wilson,Willie Wilson Party,4.0,False,D+7,53.5% D,https://en.wikipedia.org/wiki/Willie_Wilson_(businessman),general
Illinois,Dick Durbin,Democratic,"1996, 2002, 2008, 2014",Incumbent re-elected.,Danny Malouf,Libertarian,1.3,False,D+7,53.5% D,,general
Illinois,Dick Durbin,Democratic,"1996, 2002, 2008, 2014",Incumbent re-elected.,David F. Black,Green,0.9,False,D+7,53.5% D,,general
Iowa,Joni Ernst,Republican,2014,Incumbent re-elected.,Joni Ernst,Republican,51.8,True,R+3,52.1% R,https://en.wikipedia.org/wiki/Joni_Ernst,general
Iowa,Joni Ernst,Republican,2014,Incumbent re-elected.,Theresa Greenfield,Democratic,45.2,False,R+3,52.1% R,https://en.wikipedia.org/wiki/Theresa_Greenfield,general
Iowa,Joni Ernst,Republican,2014,Incumbent re-elected.,Rick Stewart,Libertarian,2.2,False,R+3,52.1% R,,general
Iowa,Joni Ernst,Republican,2014,Incumbent re-elected.,Suzanne Herzog,Independent,0.8,False,R+3,52.1% R,,general
Kansas,Pat Roberts,Republican,"1996, 2002, 2008, 2014",Incumbent retired.Republican hold.,Roger Marshall,Republican,53.2,True,R+13,53.1% R,https://en.wikipedia.org/wiki/Roger_Marshall,general
