state,incumbent_name,incumbent_party,electoral_history,result_text,candidate_name,party,vote_percentage,is_winner,pvi,last_election_result,wikipedia_url,election_type
Massachusetts,Paul G. Kirk,Democratic,"2009, (appointed)","Interim appointee retired.New senator elected January 19, 2010 and seated February 4, 2010.Republican gain.",Scott Brown,Republican,51.9,True,,Appointed(2009)[p],https://en.wikipedia.org/wiki/Scott_Brown_(politician),special
Massachusetts,Paul G. Kirk,Democratic,"2009, (appointed)","Interim appointee retired.New senator elected January 19, 2010 and seated February 4, 2010.Republican gain.",Martha Coakley,Democratic,47.1,False,,Appointed(2009)[p],https://en.wikipedia.org/wiki/Martha_Coakley,special
Massachusetts,Paul G. Kirk,Democratic,"2009, (appointed)","Interim appointee retired.New senator elected January 19, 2010 and seated February 4, 2010.Republican gain.",Joseph L. Kennedy,Libertarian,1.0,False,,Appointed(2009)[p],,special
Delaware,Ted Kaufman,Democratic,"2009, (appointed)","Interim appointee retired.New senator elected November 2, 2010 and seated November 15, 2010.Democratic hold.",Chris Coons,Democratic,56.6,True,,Appointed(2009)[m],https://en.wikipedia.org/wiki/Chris_Coons,special
Delaware,Ted Kaufman,Democratic,"2009, (appointed)","Interim appointee retired.New senator elected November 2, 2010 and seated November 15, 2010.Democratic hold.",Christine O'Donnell,Republican,40.0,False,,Appointed(2009)[m],https://en.wikipedia.org/wiki/Christine_O%27Donnell,special
Delaware,Ted Kaufman,Democratic,"2009, (appointed)","Interim appointee retired.New senator elected November 2, 2010 and seated November 15, 2010.Democratic hold.",Glenn Miller,Independent,2.7,False,,Appointed(2009)[m],,special
Delaware,Ted Kaufman,Democratic,"2009, (appointed)","Interim appointee retired.New senator elected November 2, 2010 and seated November 15, 2010.Democratic hold.",James Rash,Libertarian,0.7,False,,Appointed(2009)[m],,special
Illinois,Roland Burris,Democratic,"2009, (appointed)","Interim appointee retired.New senator elected November 2, 2010 and seated November 29, 2010.Winner also elected to next term; see below.Republican gain.",Mark Kirk,Republican,48.2,True,,Appointed(2009)[o],https://en.wikipedia.org/wiki/Mark_Kirk,special
Illinois,Roland Burris,Democratic,"2009, (appointed)","Interim appointee retired.New senator elected November 2, 2010 and seated November 29, 2010.Winner also elected to next term; see below.Republican gain.",Alexi Giannoulias,Democratic,46.3,False,,Appointed(2009)[o],https://en.wikipedia.org/wiki/Alexi_Giannoulias,special
Illinois,Roland Burris,Democratic,"2009, (appointed)","Interim appointee retired.New senator elected November 2, 2010 and seated November 29, 2010.Winner also elected to next term; see below.Republican gain.",LeAlan Jones,Green,3.2,False,,Appointed(2009)[o],https://en.wikipedia.org/wiki/LeAlan_Jones,special
