state,district,candidate_name,party,vote_percentage,is_incumbent,is_winner,pvi,election_type,wikipedia_url
Alabama,Alabama 1,Bradley Byrne,Republican,68.2,True,True,R+15,general,https://en.wikipedia.org/wiki/Bradley_Byrne
Alabama,Alabama 1,Burton LeFlore,Democratic,31.7,False,False,R+15,general,https://en.wikipedia.org/wiki/Burton_LeFlore
Alabama,Alabama 2,Martha Roby,Republican,67.3,True,True,R+17,general,https://en.wikipedia.org/wiki/Martha_Roby
Alabama,Alabama 2,Erick Wright,Democratic,32.6,False,False,R+17,general,
Alabama,Alabama 3,Mike Rogers,Republican,66.1,True,True,R+16,general,https://en.wikipedia.org/wiki/Mike_Rogers_(Alabama_politician)
Alabama,Alabama 3,Jesse Smith,Democratic,33.7,False,False,R+16,general,
Alabama,Alabama 4,Robert Aderholt,Republican,98.6,True,True,R+28,general,https://en.wikipedia.org/wiki/Robert_Aderholt
Alabama,Alabama 5,Mo Brooks,Republican,74.4,True,True,R+17,general,https://en.wikipedia.org/wiki/Mo_Brooks
Alabama,Alabama 5,Mark Bray,Independent,25.2,False,False,R+17,general,
Alabama,Alabama 6,Gary Palmer,Republican,76.2,False,True,R+28,general,https://en.wikipedia.org/wiki/Gary_Palmer_(politician)
Alabama,Alabama 6,Mark Lester,Democratic,23.7,False,False,R+28,general,
Alabama,Alabama 6,Aimee Love,Libertarian,0.1,False,False,R+28,general,
Alabama,Alabama 7,Terri Sewell,Democratic,98.4,True,True,D+20,general,https://en.wikipedia.org/wiki/Terri_Sewell
Alaska,Alaska at-large,Don Young,Republican,51.0,True,True,R+12,general,https://en.wikipedia.org/wiki/Don_Young
Alaska,Alaska at-large,Forrest Dunbar,Democratic,41.0,False,False,R+12,general,https://en.wikipedia.org/wiki/Forrest_Dunbar
Alaska,Alaska at-large,Jim C. McDermott,Libertarian,7.6,False,False,R+12,general,
Arizona,Arizona 1,Ann Kirkpatrick,Democratic,52.6,True,True,R+4,general,https://en.wikipedia.org/wiki/Ann_Kirkpatrick
Arizona,Arizona 1,Andy Tobin,Republican,47.4,False,False,R+4,general,https://en.wikipedia.org/wiki/Andy_Tobin
Arizona,Arizona 2,Martha McSally,Republican,50.04,False,True,R+3,general,https://en.wikipedia.org/wiki/Martha_McSally
Arizona,Arizona 2,Ron Barber,Democratic,49.96,True,False,R+3,general,https://en.wikipedia.org/wiki/Ron_Barber
Arizona,Arizona 3,Raúl Grijalva,Democratic,55.7,True,True,D+8,general,https://en.wikipedia.org/wiki/Ra%C3%BAl_Grijalva
Arizona,Arizona 3,Gabby Saucedo Mercer,Republican,44.3,False,False,D+8,general,
Arizona,Arizona 4,Paul Gosar,Republican,70.0,True,True,R+20,general,https://en.wikipedia.org/wiki/Paul_Gosar
Arizona,Arizona 4,Mikel Weisser,Democratic,25.8,False,False,R+20,general,https://en.wikipedia.org/wiki/Mikel_Weisser
Arizona,Arizona 4,Chris Rike,Libertarian,4.2,False,False,R+20,general,
Arizona,Arizona 5,Matt Salmon,Republican,69.6,True,True,R+17,general,https://en.wikipedia.org/wiki/Matt_Salmon
Arizona,Arizona 5,James Woods,Democratic,30.4,False,False,R+17,general,
Arizona,Arizona 6,David Schweikert,Republican,64.9,True,True,R+12,general,https://en.wikipedia.org/wiki/David_Schweikert
Arizona,Arizona 6,John Williamson,Democratic,35.1,False,False,R+12,general,
Arizona,Arizona 7,Ruben Gallego,Democratic,74.3,False,True,D+16,general,https://en.wikipedia.org/wiki/Ruben_Gallego
Arizona,Arizona 7,Joe Cobb,Libertarian,16.0,False,False,D+16,general,
Arizona,Arizona 7,Rebecca DeWitt,Americans Elect,5.7,False,False,D+16,general,
Arizona,Arizona 7,José Peñalosa,Independent,4.0,False,False,D+16,general,
Arizona,Arizona 8,Trent Franks,Republican,75.8,True,True,R+15,general,https://en.wikipedia.org/wiki/Trent_Franks
Arizona,Arizona 8,Stephen Dolgos,Americans Elect,24.2,False,False,R+15,general,
Arizona,Arizona 9,Kyrsten Sinema,Democratic,54.7,True,True,R+1,general,https://en.wikipedia.org/wiki/Kyrsten_Sinema
Arizona,Arizona 9,Wendy Rogers,Republican,41.8,False,False,R+1,general,
Arizona,Arizona 9,Powell Gammill,Libertarian,3.5,False,False,R+1,general,
Arkansas,Arkansas 1,Rick Crawford,Republican,63.3,True,True,R+14,general,https://en.wikipedia.org/wiki/Rick_Crawford_(politician)
Arkansas,Arkansas 1,Jackie McPherson,Democratic,32.4,False,False,R+14,general,
Arkansas,Arkansas 1,Brian Willhite,Libertarian,4.4,False,False,R+14,general,
Arkansas,Arkansas 2,French Hill,Republican,51.9,False,True,R+8,general,https://en.wikipedia.org/wiki/French_Hill_(politician)
Arkansas,Arkansas 2,Pat Hays,Democratic,43.6,False,False,R+8,general,https://en.wikipedia.org/wiki/Pat_Hays
Arkansas,Arkansas 2,Debbie Standiford,Libertarian,4.5,False,False,R+8,general,
Arkansas,Arkansas 3,Steve Womack,Republican,79.4,True,True,R+19,general,https://en.wikipedia.org/wiki/Steve_Womack
Arkansas,Arkansas 3,Grant Brand,Libertarian,20.6,False,False,R+19,general,
Arkansas,Arkansas 4,Bruce Westerman,Republican,53.8,False,True,R+15,general,https://en.wikipedia.org/wiki/Bruce_Westerman
