state,incumbent_name,incumbent_party,electoral_history,result_text,candidate_name,party,vote_percentage,is_winner,pvi,last_election_result,wikipedia_url,election_type
Mississippi,Roger Wicker,Republican,"2007, (appointed)",Interim appointee elected.,Roger Wicker,Republican,55.0,True,,Appointed(2007)[g],https://en.wikipedia.org/wiki/Roger_Wicker,special
Mississippi,Roger Wicker,Republican,"2007, (appointed)",Interim appointee elected.,Ronnie Musgrove,Democratic,45.0,False,,Appointed(2007)[g],https://en.wikipedia.org/wiki/Ronnie_Musgrove,special
Wyoming,John Barrasso,Republican,"2007, (appointed)",Interim appointee elected.,John Barrasso,Republican,73.4,True,,Appointed(2007)[h],https://en.wikipedia.org/wiki/John_Barrasso,special
Wyoming,John Barrasso,Republican,"2007, (appointed)",Interim appointee elected.,Nick Carter,Democratic,26.5,False,,Appointed(2007)[h],,special
Alabama,Jeff Sessions,Republican,"1996, 2002",Incumbentre-elected.,Jeff Sessions,Republican,63.4,True,,58.6% R,https://en.wikipedia.org/wiki/Jeff_Sessions,general
Alabama,Jeff Sessions,Republican,"1996, 2002",Incumbentre-elected.,Vivian Davis Figures,Democratic,36.5,False,,58.6% R,https://en.wikipedia.org/wiki/Vivian_Davis_Figures,general
Alaska,Ted Stevens,Republican,"1968, (appointed), 1970, (special), 1972, 1978, 1984, 1990, 1996, 2002",Incumbent lost re-election.Democratic gain.,Mark Begich,Democratic,47.8,True,,78.2% R,https://en.wikipedia.org/wiki/Mark_Begich,general
Alaska,Ted Stevens,Republican,"1968, (appointed), 1970, (special), 1972, 1978, 1984, 1990, 1996, 2002",Incumbent lost re-election.Democratic gain.,Ted Stevens,Republican,46.6,False,,78.2% R,https://en.wikipedia.org/wiki/Ted_Stevens,general
Alaska,Ted Stevens,Republican,"1968, (appointed), 1970, (special), 1972, 1978, 1984, 1990, 1996, 2002",Incumbent lost re-election.Democratic gain.,Bob Bird,Alaskan Independence,4.2,False,,78.2% R,https://en.wikipedia.org/wiki/Bob_Bird_(politician),general
Alaska,Ted Stevens,Republican,"1968, (appointed), 1970, (special), 1972, 1978, 1984, 1990, 1996, 2002",Incumbent lost re-election.Democratic gain.,David Haase,Libertarian,0.8,False,,78.2% R,,general
Alaska,Ted Stevens,Republican,"1968, (appointed), 1970, (special), 1972, 1978, 1984, 1990, 1996, 2002",Incumbent lost re-election.Democratic gain.,Ted Gianoutsos,Independent,0.4,False,,78.2% R,,general
Arkansas,Mark Pryor,Democratic,2002,Incumbentre-elected.,Mark Pryor,Democratic,79.5,True,,53.9% D,https://en.wikipedia.org/wiki/Mark_Pryor,general
Arkansas,Mark Pryor,Democratic,2002,Incumbentre-elected.,Rebekah Kennedy,Green,20.5,False,,53.9% D,https://en.wikipedia.org/wiki/Rebekah_Kennedy_(candidate),general
Colorado,Wayne Allard,Republican,"1996, 2002",Incumbent retired.Democratic gain.,Mark Udall,Democratic,52.8,True,,50.7% R,https://en.wikipedia.org/wiki/Mark_Udall,general
Colorado,Wayne Allard,Republican,"1996, 2002",Incumbent retired.Democratic gain.,Bob Schaffer,Republican,42.5,False,,50.7% R,https://en.wikipedia.org/wiki/Bob_Schaffer,general
Colorado,Wayne Allard,Republican,"1996, 2002",Incumbent retired.Democratic gain.,Doug Campbell,Constitution,2.6,False,,50.7% R,,general
Colorado,Wayne Allard,Republican,"1996, 2002",Incumbent retired.Democratic gain.,Bob Kinsey,Green,2.1,False,,50.7% R,,general
Delaware,Joe Biden,Democratic,"1972, 1978, 1984, 1990, 1996, 2002",Incumbent re-elected.,Joe Biden,Democratic,64.7,True,,58.2% D,https://en.wikipedia.org/wiki/Joe_Biden,general
Delaware,Joe Biden,Democratic,"1972, 1978, 1984, 1990, 1996, 2002",Incumbent re-elected.,Christine O'Donnell,Republican,35.3,False,,58.2% D,https://en.wikipedia.org/wiki/Christine_O%27Donnell,general
Georgia,Saxby Chambliss,Republican,2002,Incumbent re-elected in runoff.,Saxby Chambliss,Republican,49.8,True,,52.8% R,https://en.wikipedia.org/wiki/Saxby_Chambliss,general
Georgia,Saxby Chambliss,Republican,2002,Incumbent re-elected in runoff.,Jim Martin,Democratic,46.8,True,,52.8% R,https://en.wikipedia.org/wiki/Jim_Martin_(Georgia_politician),general
Georgia,Saxby Chambliss,Republican,2002,Incumbent re-elected in runoff.,Allen Buckley,Libertarian,3.4,False,,52.8% R,,general
Georgia,Saxby Chambliss,Republican,2002,Incumbent re-elected in runoff.,Saxby Chambliss,Republican,57.5,True,,52.8% R,https://en.wikipedia.org/wiki/Saxby_Chambliss,general
Georgia,Saxby Chambliss,Republican,2002,Incumbent re-elected in runoff.,Jim Martin,Democratic,42.5,False,,52.8% R,https://en.wikipedia.org/wiki/Jim_Martin_(Georgia_politician),general
Idaho,Larry Craig,Republican,"1990, 1996, 2002",Incumbent retired.Republican hold.,Jim Risch,Republican,57.7,True,,65.2% R,https://en.wikipedia.org/wiki/Jim_Risch,general
Idaho,Larry Craig,Republican,"1990, 1996, 2002",Incumbent retired.Republican hold.,Larry LaRocco,Democratic,34.1,False,,65.2% R,https://en.wikipedia.org/wiki/Larry_LaRocco,general
Idaho,Larry Craig,Republican,"1990, 1996, 2002",Incumbent retired.Republican hold.,Rex Rammell,Independent,5.4,False,,65.2% R,,general
Idaho,Larry Craig,Republican,"1990, 1996, 2002",Incumbent retired.Republican hold.,Kent Marmon,Libertarian,1.5,False,,65.2% R,,general
Idaho,Larry Craig,Republican,"1990, 1996, 2002",Incumbent retired.Republican hold.,Pro-Life,Independent,1.3,False,,65.2% R,https://en.wikipedia.org/wiki/Pro-Life_(politician),general
Illinois,Dick Durbin,Democratic,"1996, 2002",Incumbent re-elected.,Dick Durbin,Democratic,67.8,True,,60.3% D,https://en.wikipedia.org/wiki/Dick_Durbin,general
Illinois,Dick Durbin,Democratic,"1996, 2002",Incumbent re-elected.,Steve Sauerberg,Republican,28.5,False,,60.3% D,,general
Illinois,Dick Durbin,Democratic,"1996, 2002",Incumbent re-elected.,Kathy Cummings,Green,2.2,False,,60.3% D,,general
Illinois,Dick Durbin,Democratic,"1996, 2002",Incumbent re-elected.,Larry Stafford,Libertarian,0.9,False,,60.3% D,https://en.wikipedia.org/wiki/Larry_Stafford,general
Illinois,Dick Durbin,Democratic,"1996, 2002",Incumbent re-elected.,Chad Koppie,Constitution,0.5,False,,60.3% D,,general
