state,incumbent_name,incumbent_party,electoral_history,result_text,candidate_name,party,vote_percentage,is_winner,pvi,last_election_result,wikipedia_url,election_type
Minnesota,Tina Smith,DFL,"2018, (appointed)",Interim appointee elected.,Tina Smith,DFL,53.0,True,D+1,Appointed(2018)[i],https://en.wikipedia.org/wiki/Tina_Smith,special
Minnesota,Tina Smith,DFL,"2018, (appointed)",Interim appointee elected.,Karin Housley,Republican,42.4,False,D+1,Appointed(2018)[i],https://en.wikipedia.org/wiki/Karin_Housley,special
Minnesota,Tina Smith,DFL,"2018, (appointed)",Interim appointee elected.,Sarah Wellington,Legal Marijuana Now,3.7,False,D+1,Appointed(2018)[i],,special
Minnesota,Tina Smith,DFL,"2018, (appointed)",Interim appointee elected.,Jerry Trooien,Independent,0.9,False,D+1,Appointed(2018)[i],https://en.wikipedia.org/wiki/Jerry_Trooien,special
Mississippi,Cindy Hyde-Smith,Republican,"2018, (appointed)",Interim appointee elected.,Cindy Hyde-Smith,Republican,53.6,True,R+9,Appointed(2018)[k],https://en.wikipedia.org/wiki/Cindy_Hyde-Smith,special
Mississippi,Cindy Hyde-Smith,Republican,"2018, (appointed)",Interim appointee elected.,Mike Espy,Democratic,46.4,False,R+9,Appointed(2018)[k],https://en.wikipedia.org/wiki/Mike_Espy,special
Arizona,Jeff Flake,Republican,2012,Incumbent retired.Democratic gain.,Kyrsten Sinema,Democratic,50.0,True,R+5,49.2% R,https://en.wikipedia.org/wiki/Kyrsten_Sinema,general
Arizona,Jeff Flake,Republican,2012,Incumbent retired.Democratic gain.,Martha McSally,Republican,47.6,False,R+5,49.2% R,https://en.wikipedia.org/wiki/Martha_McSally,general
Arizona,Jeff Flake,Republican,2012,Incumbent retired.Democratic gain.,Angela Green,Green,2.4,False,R+5,49.2% R,,general
California,Dianne Feinstein,Democratic,"1992, (special), 1994, 2000, 2006, 2012",Incumbent re-elected.,Dianne Feinstein,Democratic,54.2,True,D+12,62.5% D,https://en.wikipedia.org/wiki/Dianne_Feinstein,general
California,Dianne Feinstein,Democratic,"1992, (special), 1994, 2000, 2006, 2012",Incumbent re-elected.,Kevin de León,Democratic,45.8,False,D+12,62.5% D,https://en.wikipedia.org/wiki/Kevin_de_Le%C3%B3n,general
Connecticut,Chris Murphy,Democratic,2012,Incumbent re-elected.,Chris Murphy,Democratic,59.5,True,D+6,54.8% D,https://en.wikipedia.org/wiki/Chris_Murphy,general
Connecticut,Chris Murphy,Democratic,2012,Incumbent re-elected.,Matthew Corey,Republican,39.4,False,D+6,54.8% D,,general
Connecticut,Chris Murphy,Democratic,2012,Incumbent re-elected.,Richard Lion,Libertarian,0.6,False,D+6,54.8% D,,general
Connecticut,Chris Murphy,Democratic,2012,Incumbent re-elected.,Jeff Russell,Green,0.5,False,D+6,54.8% D,,general
Delaware,Tom Carper,Democratic,"2000, 2006, 2012",Incumbent re-elected.,Tom Carper,Democratic,60.0,True,D+6,66.4% D,https://en.wikipedia.org/wiki/Tom_Carper,general
Delaware,Tom Carper,Democratic,"2000, 2006, 2012",Incumbent re-elected.,Robert Arlett,Republican,37.8,False,D+6,66.4% D,,general
Delaware,Tom Carper,Democratic,"2000, 2006, 2012",Incumbent re-elected.,Demitri Theodoropoulos,Green,1.2,False,D+6,66.4% D,,general
Delaware,Tom Carper,Democratic,"2000, 2006, 2012",Incumbent re-elected.,Nadine Frost,Libertarian,1.1,False,D+6,66.4% D,,general
Florida,Bill Nelson,Democratic,"2000, 2006, 2012","Incumbent lost re-election.Republican gain.Winner delayed term until January 8, 2019, to finish his term asGovernor of Florida.",Rick Scott,Republican,50.1,True,R+2,55.2% D,https://en.wikipedia.org/wiki/Rick_Scott,general
Florida,Bill Nelson,Democratic,"2000, 2006, 2012","Incumbent lost re-election.Republican gain.Winner delayed term until January 8, 2019, to finish his term asGovernor of Florida.",Bill Nelson,Democratic,49.9,False,R+2,55.2% D,https://en.wikipedia.org/wiki/Bill_Nelson,general
Hawaii,Mazie Hirono,Democratic,2012,Incumbent re-elected.,Mazie Hirono,Democratic,71.2,True,D+18,62.6% D,https://en.wikipedia.org/wiki/Mazie_Hirono,general
Hawaii,Mazie Hirono,Democratic,2012,Incumbent re-elected.,Ron Curtis,Republican,28.8,False,D+18,62.6% D,,general
Indiana,Joe Donnelly,Democratic,2012,Incumbent lost re-election.Republican gain.,Mike Braun,Republican,50.9,True,R+9,50.0% D,https://en.wikipedia.org/wiki/Mike_Braun,general
Indiana,Joe Donnelly,Democratic,2012,Incumbent lost re-election.Republican gain.,Joe Donnelly,Democratic,45.0,False,R+9,50.0% D,https://en.wikipedia.org/wiki/Joe_Donnelly,general
Indiana,Joe Donnelly,Democratic,2012,Incumbent lost re-election.Republican gain.,Lucy Brenton,Libertarian,4.0,False,R+9,50.0% D,,general
Maine,Angus King,Independent,2012,Incumbent re-elected.,Angus King,Independent,54.3,True,D+3,52.9% I,https://en.wikipedia.org/wiki/Angus_King,general
Maine,Angus King,Independent,2012,Incumbent re-elected.,Eric Brakey,Republican,35.2,False,D+3,52.9% I,https://en.wikipedia.org/wiki/Eric_Brakey,general
Maine,Angus King,Independent,2012,Incumbent re-elected.,Zak Ringelstein,Democratic,10.4,False,D+3,52.9% I,,general
Maryland,Ben Cardin,Democratic,"2006, 2012",Incumbent re-elected.,Ben Cardin,Democratic,64.9,True,D+12,56.0% D,https://en.wikipedia.org/wiki/Ben_Cardin,general
Maryland,Ben Cardin,Democratic,"2006, 2012",Incumbent re-elected.,Tony Campbell,Republican,30.3,False,D+12,56.0% D,,general
