state,district,candidate_name,party,vote_percentage,is_incumbent,is_winner,pvi,election_type,wikipedia_url
Alabama,Alabama 1,Jo Bonner,Republican,83.0,True,True,R+14,general,https://en.wikipedia.org/wiki/Jo_Bonner
Alabama,Alabama 1,David Walter,Constitution,17.0,False,False,R+14,general,
Alabama,Alabama 2,Martha Roby,Republican,51.3,False,True,R+16,general,https://en.wikipedia.org/wiki/Martha_Roby
Alabama,Alabama 2,Bobby Bright,Democratic,48.7,True,False,R+16,general,https://en.wikipedia.org/wiki/Bobby_Bright
Alabama,Alabama 3,Mike D. Rogers,Republican,59.1,True,True,R+9,general,https://en.wikipedia.org/wiki/Mike_D._Rogers
Alabama,Alabama 3,Steve Segrest,Democratic,40.9,False,False,R+9,general,
Alabama,Alabama 4,Robert Aderholt,Republican,98.8,True,True,R+26,general,https://en.wikipedia.org/wiki/Robert_Aderholt
Alabama,Alabama 5,Mo Brooks,Republican,58.5,False,True,R+12,general,https://en.wikipedia.org/wiki/Mo_Brooks
Alabama,Alabama 5,Steve Raby,Democratic,41.5,False,False,R+12,general,https://en.wikipedia.org/wiki/Steve_Raby
Alabama,Alabama 6,Spencer Bachus,Republican,98.1,True,True,R+29,general,https://en.wikipedia.org/wiki/Spencer_Bachus
Alabama,Alabama 7,Terri Sewell,Democratic,72.6,False,True,D+18,general,https://en.wikipedia.org/wiki/Terri_Sewell
Alabama,Alabama 7,Don Chamberlain,Republican,27.4,False,False,D+18,general,https://en.wikipedia.org/wiki/Don_Chamberlain
Alaska,Alaska at-large,Don Young,Republican,69.0,True,True,R+13,general,https://en.wikipedia.org/wiki/Don_Young
Alaska,Alaska at-large,Harry Crawford,Democratic,30.5,False,False,R+13,general,https://en.wikipedia.org/wiki/Harry_Crawford_(politician)
Arizona,Arizona 1,Paul Gosar,Republican,49.7,False,True,R+6,general,https://en.wikipedia.org/wiki/Paul_Gosar
Arizona,Arizona 1,Ann Kirkpatrick,Democratic,43.7,True,False,R+6,general,https://en.wikipedia.org/wiki/Ann_Kirkpatrick
Arizona,Arizona 1,Nicole Patti,Libertarian,6.6,False,False,R+6,general,
Arizona,Arizona 2,Trent Franks,Republican,64.9,True,True,R+13,general,https://en.wikipedia.org/wiki/Trent_Franks
Arizona,Arizona 2,John Thrasher,Democratic,31.1,False,False,R+13,general,
Arizona,Arizona 2,Powell Gammill,Libertarian,4.0,False,False,R+13,general,
Arizona,Arizona 3,Ben Quayle,Republican,52.2,False,True,R+9,general,https://en.wikipedia.org/wiki/Ben_Quayle
Arizona,Arizona 3,Jon Hulburd,Democratic,41.1,False,False,R+9,general,
Arizona,Arizona 3,Michael Shoen,Libertarian,5.0,False,False,R+9,general,
Arizona,Arizona 3,Leonard Clark,Green,1.6,False,False,R+9,general,
Arizona,Arizona 4,Ed Pastor,Democratic,66.9,True,True,D+13,general,https://en.wikipedia.org/wiki/Ed_Pastor
Arizona,Arizona 4,Janet Contreras,Republican,27.5,False,False,D+13,general,
Arizona,Arizona 4,Joe Cobb,Libertarian,3.0,False,False,D+13,general,
Arizona,Arizona 4,Rebecca DeWitt,Green,2.6,False,False,D+13,general,
Arizona,Arizona 5,David Schweikert,Republican,52.0,False,True,R+5,general,https://en.wikipedia.org/wiki/David_Schweikert
Arizona,Arizona 5,Harry Mitchell,Democratic,43.2,True,False,R+5,general,https://en.wikipedia.org/wiki/Harry_Mitchell
Arizona,Arizona 5,Nick Coons,Libertarian,4.8,False,False,R+5,general,
Arizona,Arizona 6,Jeff Flake,Republican,66.4,True,True,R+15,general,https://en.wikipedia.org/wiki/Jeff_Flake
Arizona,Arizona 6,Rebecca Schneider,Democratic,29.1,False,False,R+15,general,https://en.wikipedia.org/wiki/Rebecca_Schneider_(politician)
Arizona,Arizona 6,Richard Grayson,Green,3.1,False,False,R+15,general,
Arizona,Arizona 6,Darell Tapp,Libertarian,1.4,False,False,R+15,general,
Arizona,Arizona 7,Raúl Grijalva,Democratic,50.2,True,True,D+6,general,https://en.wikipedia.org/wiki/Ra%C3%BAl_Grijalva
Arizona,Arizona 7,Ruth McClung,Republican,44.2,False,False,D+6,general,
Arizona,Arizona 7,Harley Meyer,Independent,2.8,False,False,D+6,general,
