state,incumbent_name,incumbent_party,electoral_history,result_text,candidate_name,party,vote_percentage,is_winner,pvi,last_election_result,wikipedia_url,election_type
California,Alex Padilla,Democratic,"2021, (appointed)",Interim appointee elected.Winner also elected to the next term; see below.,Alex Padilla,Democratic,60.9,True,D+13,Appointed(2021)[r],https://en.wikipedia.org/wiki/Alex_Padilla,special
California,Alex Padilla,Democratic,"2021, (appointed)",Interim appointee elected.Winner also elected to the next term; see below.,Mark Meuser,Republican,39.1,False,D+13,Appointed(2021)[r],,special
Oklahoma,Jim Inhofe,Republican,"1994, (special), 1996, 2002, 2008, 2014, 2020","Incumbent resigned January 3, 2023.[49]Republican hold.",Markwayne Mullin,Republican,61.8,True,R+20,62.9% R(2020),https://en.wikipedia.org/wiki/Markwayne_Mullin,special
Oklahoma,Jim Inhofe,Republican,"1994, (special), 1996, 2002, 2008, 2014, 2020","Incumbent resigned January 3, 2023.[49]Republican hold.",Kendra Horn,Democratic,35.2,False,R+20,62.9% R(2020),https://en.wikipedia.org/wiki/Kendra_Horn,special
Oklahoma,Jim Inhofe,Republican,"1994, (special), 1996, 2002, 2008, 2014, 2020","Incumbent resigned January 3, 2023.[49]Republican hold.",Robert Murphy,Libertarian,1.5,False,R+20,62.9% R(2020),,special
Oklahoma,Jim Inhofe,Republican,"1994, (special), 1996, 2002, 2008, 2014, 2020","Incumbent resigned January 3, 2023.[49]Republican hold.",Ray Woods,Independent,1.5,False,R+20,62.9% R(2020),,special
Alabama,Richard Shelby,Republican,"1986, 1992, 1998, 2004, 2010, 2016",Incumbent retired.[51]Republican hold.,Katie Britt,Republican,66.6,True,R+15,64.0% R,https://en.wikipedia.org/wiki/Katie_Britt,general
Alabama,Richard Shelby,Republican,"1986, 1992, 1998, 2004, 2010, 2016",Incumbent retired.[51]Republican hold.,Will Boyd,Democratic,30.9,False,R+15,64.0% R,,general
Alabama,Richard Shelby,Republican,"1986, 1992, 1998, 2004, 2010, 2016",Incumbent retired.[51]Republican hold.,John Sophocleus,Libertarian,2.3,False,R+15,64.0% R,https://en.wikipedia.org/wiki/John_Sophocleus,general
Alaska,Lisa Murkowski,Republican,"2002, (appointed), 2004, 2010, (write-in), 2016",Incumbent re-elected in instant runoff.,Lisa Murkowski,Republican,43.4,True,R+8,44.4% R,https://en.wikipedia.org/wiki/Lisa_Murkowski,general
