state,district,candidate_name,party,vote_percentage,is_incumbent,is_winner,pvi,election_type,wikipedia_url
Alabama,Alabama 1,Bradley Byrne,Republican,96.4,True,True,R+15,general,
Alabama,Alabama 2,Martha Roby,Republican,48.8,True,True,R+17,general,https://en.wikipedia.org/wiki/Martha_Roby
Alabama,Alabama 2,Nathan Mathis,Democratic,40.5,False,False,R+17,general,https://en.wikipedia.org/wiki/Nathan_Mathis
Alabama,Alabama 3,Mike D. Rogers,Republican,66.9,True,True,R+16,general,https://en.wikipedia.org/wiki/Mike_Rogers_(Alabama_politician)
Alabama,Alabama 3,Jesse Smith,Democratic,32.9,False,False,R+16,general,
Alabama,Alabama 4,Robert Aderholt,Republican,98.5,True,True,R+28,general,
Alabama,Alabama 5,Mo Brooks,Republican,66.7,True,True,R+17,general,https://en.wikipedia.org/wiki/Mo_Brooks
Alabama,Alabama 5,Will Boyd,Democratic,33.2,False,False,R+17,general,
Alabama,Alabama 6,Gary Palmer,Republican,74.5,True,True,R+28,general,https://en.wikipedia.org/wiki/Gary_Palmer_(politician)
Alabama,Alabama 6,David Putman,Democratic,25.4,False,False,R+28,general,
Alabama,Alabama 7,Terri Sewell,Democratic,98.4,True,True,D+20,general,
Alaska,Alaska at-large,Don Young,Republican,50.3,True,True,R+12,general,https://en.wikipedia.org/wiki/Don_Young
Alaska,Alaska at-large,Steve Lindbeck,Democratic,36.0,False,False,R+12,general,
Alaska,Alaska at-large,Jim C. McDermott,Libertarian,10.3,False,False,R+12,general,
Alaska,Alaska at-large,Bernie Souphanavong,Independent,3.0,False,False,R+12,general,
Arizona,Arizona 1,Tom O'Halleran,Democratic,50.7,False,True,R+4,general,https://en.wikipedia.org/wiki/Tom_O%27Halleran
Arizona,Arizona 1,Paul Babeu,Republican,43.4,False,False,R+4,general,https://en.wikipedia.org/wiki/Paul_Babeu
Arizona,Arizona 1,Ray Parrish,Green,6.0,False,False,R+4,general,
Arizona,Arizona 2,Martha McSally,Republican,57.0,True,True,R+3,general,https://en.wikipedia.org/wiki/Martha_McSally
Arizona,Arizona 2,Matt Heinz,Democratic,43.0,False,False,R+3,general,https://en.wikipedia.org/wiki/Matt_Heinz
Arizona,Arizona 3,Raúl Grijalva,Democratic,98.6,True,True,D+8,general,
Arizona,Arizona 4,Paul Gosar,Republican,71.5,True,True,R+20,general,https://en.wikipedia.org/wiki/Paul_Gosar
Arizona,Arizona 4,Mikel Weisser,Democratic,28.5,False,False,R+20,general,https://en.wikipedia.org/wiki/Mikel_Weisser
Arizona,Arizona 5,Andy Biggs,Republican,64.1,False,True,R+17,general,https://en.wikipedia.org/wiki/Andy_Biggs
