Outcome,Window,NI,SE,Wald,p-value,N
Intensive (log edits),"k∈{-8,...,-1}",0.09111050400752914,0.034700295515578614,6.8939884498696316,0.008648608739291963,261730
Intensive (log edits),"k∈{-10,...,-1}",0.08020568012074424,0.030540748250305713,6.896851984145755,0.008634766362785262,261730
Extensive (P>0),"k∈{-8,...,-1}",0.06948901964280625,0.02859243757272925,5.9064972512111495,0.015085137936482251,261730
Extensive (P>0),"k∈{-10,...,-1}",0.06286291640664664,0.026276320875907998,5.723476942013902,0.016739549867069048,261730
