Outcome,Mean,CI_Lower,CI_Upper,N_PageCycles,95% Bootstrap CI
Log(1 + Edits) - Baseline,0.02643220245327154,-7.995030409458298e-05,0.055943088300415486,3739,"[-0.0001, 0.0559]"
P(Edits > 0) - Baseline,0.020032625542120062,-0.0020712706747225687,0.0482725441812385,3739,"[-0.0021, 0.0483]"
