Outcome,Window,NI,SE_twoway,p_twoway,SE_oneway,p_oneway
Intensive (log edits),"k∈{-8,...,-1}",0.09111050400752914,0.034700295515578614,0.008648608739291963,0.005397052999383752,0.0
Intensive (log edits),"k∈{-10,...,-1}",0.08020568012074424,0.030540748250305713,0.008634766362785262,0.0050871847668256,0.0
Extensive (P>0),"k∈{-8,...,-1}",0.06948901964280625,0.02859243757272925,0.015085137936482251,0.00359345327377579,0.0
Extensive (P>0),"k∈{-10,...,-1}",0.06286291640664664,0.026276320875907998,0.016739549867069048,0.003332246202123805,0.0
