year,trend,LI_y,se,wald,p_value
2008,0.0,0.002029648319690572,0.02487507294055407,0.006657525848833378,0.934969840651943
2010,1.0,0.0002711768102761598,0.020574091089089887,0.000173725583679209,0.9894837869326343
2012,2.0,-0.001487294699138252,0.016821929523557287,0.007817041936861571,0.9295476050824574
2014,3.0,-0.003245766208552664,0.014064903841049416,0.05325506687793786,0.817493027541257
2016,4.0,-0.005004237717967076,0.012954761504152933,0.14921655865337716,0.6992851698547335
2018,5.0,-0.006762709227381488,0.013892094500473169,0.23697687684967725,0.6263981508675069
2022,7.0,-0.010279652246210313,0.02021879157611796,0.25849161220813616,0.6111583361944279
2024,8.0,-0.012038123755624724,0.02448355227507492,0.2417512616571157,0.6229441127748618
